run_id,grain,precision,recall,attempted
"tmp8041",fine,0.695,0.401,57.73
"tmp8042",coarse,0.668,0.191,28.68
"tmp8042",mixed,0.658,0.189,28.68
"tmp8042",fine,0.624,0.179,28.68
"tmp8043",coarse,0.681,0.235,34.53
"tmp8043",mixed,0.664,0.229,34.53
"tmp8043",fine,0.634,0.219,34.53
"tmp8044",coarse,0.733,0.461,62.85
"tmp8044",mixed,0.716,0.450,62.85
"tmp8044",fine,0.685,0.430,62.85
"tmp8045",coarse,0.724,0.475,65.67
"tmp8045",mixed,0.705,0.463,65.67
"tmp8045",fine,0.673,0.442,65.67
"tmp8046",coarse,0.675,0.348,51.52
"tmp8046",mixed,0.659,0.340,51.52
"tmp8046",fine,0.628,0.324,51.52
"tmp8047",coarse,0.670,0.384,57.33
"tmp8047",mixed,0.649,0.372,57.33
"tmp8047",fine,0.616,0.353,57.33
"tmp8048",coarse,0.725,0.556,76.67
"tmp8048",mixed,0.710,0.544,76.67
"tmp8048",fine,0.682,0.523,76.67
"tmp8049",coarse,0.715,0.570,79.74
"tmp8049",mixed,0.699,0.558,79.74
"tmp8049",fine,0.671,0.535,79.74
"tmp8050",coarse,0.691,0.474,68.69
"tmp8050",mixed,0.672,0.462,68.69
"tmp8050",fine,0.644,0.442,68.69
"tmp8051",coarse,0.685,0.495,72.36
"tmp8051",mixed,0.666,0.482,72.36
"tmp8051",fine,0.637,0.461,72.36
"tmp8052",coarse,0.679,0.569,83.85
"tmp8052",mixed,0.661,0.554,83.85
"tmp8052",fine,0.633,0.531,83.85
"tmp8053",coarse,0.678,0.582,85.80
"tmp8053",mixed,0.659,0.566,85.80
"tmp8053",fine,0.631,0.541,85.80
"tmp8054",coarse,0.647,0.509,78.65
"tmp8054",mixed,0.627,0.493,78.65
"tmp8054",fine,0.595,0.468,78.65
"tmp8055",coarse,0.647,0.522,80.63
"tmp8055",mixed,0.628,0.507,80.63
"tmp8055",fine,0.596,0.481,80.63
"tmp8056",coarse,0.616,0.543,88.08
"tmp8056",mixed,0.594,0.523,88.08
"tmp8056",fine,0.558,0.491,88.08
"tmp8057",coarse,0.625,0.553,88.51
"tmp8057",mixed,0.601,0.532,88.51
"tmp8057",fine,0.564,0.499,88.51
"tmp8058",coarse,0.575,0.486,84.53
"tmp8058",mixed,0.550,0.465,84.53
"tmp8058",fine,0.514,0.435,84.53
"tmp8059",coarse,0.584,0.500,85.62
"tmp8059",mixed,0.558,0.478,85.62
"tmp8059",fine,0.522,0.447,85.62
"tmp8060",coarse,0.737,0.379,51.39
"tmp8060",mixed,0.730,0.375,51.39
"tmp8060",fine,0.693,0.356,51.39
"tmp8061",coarse,0.740,0.427,57.73
"tmp8061",mixed,0.727,0.420,57.73
"tmp8061",fine,0.695,0.401,57.73
"tmp8062",coarse,0.668,0.191,28.68
"tmp8062",mixed,0.658,0.189,28.68
"tmp8062",fine,0.624,0.179,28.68
"tmp8063",coarse,0.681,0.235,34.53
"tmp8063",mixed,0.664,0.229,34.53
"tmp8063",fine,0.634,0.219,34.53
"tmp8064",coarse,0.733,0.461,62.85
"tmp8064",mixed,0.716,0.450,62.85
"tmp8064",fine,0.685,0.430,62.85
"tmp8065",coarse,0.724,0.475,65.67
"tmp8065",mixed,0.705,0.463,65.67
"tmp8065",fine,0.673,0.442,65.67
"tmp8066",coarse,0.675,0.347,51.32
"tmp8066",mixed,0.660,0.339,51.32
"tmp8066",fine,0.629,0.323,51.32
"tmp8067",coarse,0.669,0.385,57.48
"tmp8067",mixed,0.649,0.373,57.48
"tmp8067",fine,0.615,0.354,57.48
"tmp8068",coarse,0.725,0.557,76.75
"tmp8068",mixed,0.710,0.545,76.75
"tmp8068",fine,0.682,0.524,76.75
"tmp8069",coarse,0.715,0.570,79.69
"tmp8069",mixed,0.699,0.557,79.69
"tmp8069",fine,0.670,0.534,79.69
"tmp8070",coarse,0.693,0.478,69.02
"tmp8070",mixed,0.673,0.465,69.02
"tmp8070",fine,0.645,0.445,69.02
"tmp8071",coarse,0.684,0.498,72.79
"tmp8071",mixed,0.666,0.485,72.79
"tmp8071",fine,0.637,0.463,72.79
"tmp8072",coarse,0.678,0.569,83.90
"tmp8072",mixed,0.661,0.554,83.90
"tmp8072",fine,0.632,0.530,83.90
"tmp8073",coarse,0.675,0.581,86.00
"tmp8073",mixed,0.657,0.565,86.00
"tmp8073",fine,0.628,0.540,86.00
"tmp8074",coarse,0.650,0.510,78.42
"tmp8074",mixed,0.629,0.494,78.42
"tmp8074",fine,0.598,0.469,78.42
"tmp8075",coarse,0.646,0.524,81.14
"tmp8075",mixed,0.627,0.509,81.14
"tmp8075",fine,0.596,0.483,81.14
"tmp8076",coarse,0.618,0.544,88.11
"tmp8076",mixed,0.595,0.524,88.11
"tmp8076",fine,0.558,0.492,88.11
"tmp8077",coarse,0.625,0.554,88.62
"tmp8077",mixed,0.602,0.534,88.62
"tmp8077",fine,0.565,0.501,88.62
"tmp8078",coarse,0.577,0.487,84.28
"tmp8078",mixed,0.552,0.465,84.28
"tmp8078",fine,0.516,0.435,84.28
"tmp8079",coarse,0.584,0.502,85.95
"tmp8079",mixed,0.558,0.479,85.95
"tmp8079",fine,0.522,0.449,85.95
"tmp8080",coarse,0.612,0.612,100.00
"tmp8080",mixed,0.594,0.594,100.00
"tmp8080",fine,0.552,0.552,100.00
"tmp8081",coarse,0.625,0.625,100.00
"tmp8081",mixed,0.611,0.611,100.00
"tmp8081",fine,0.572,0.572,100.00
"tmp8082",coarse,-nan,0.000,0.00
"tmp8082",mixed,-nan,0.000,0.00
"tmp8082",fine,-nan,0.000,0.00
"tmp8083",coarse,-nan,0.000,0.00
"tmp8083",mixed,-nan,0.000,0.00
"tmp8083",fine,-nan,0.000,0.00
"tmp8084",coarse,0.624,0.617,98.83
"tmp8084",mixed,0.609,0.602,98.83
"tmp8084",fine,0.564,0.557,98.83
"tmp8085",coarse,0.626,0.619,98.83
"tmp8085",mixed,0.611,0.604,98.83
"tmp8085",fine,0.566,0.560,98.83
"tmp8086",coarse,-nan,0.000,0.00
"tmp8086",mixed,-nan,0.000,0.00
"tmp8086",fine,-nan,0.000,0.00
"tmp8087",coarse,-nan,0.000,0.00
"tmp8087",mixed,-nan,0.000,0.00
"tmp8087",fine,-nan,0.000,0.00
"tmp8088",coarse,0.634,0.623,98.38
"tmp8088",mixed,0.620,0.610,98.38
"tmp8088",fine,0.577,0.568,98.38
"tmp8089",coarse,0.634,0.624,98.43
"tmp8089",mixed,0.621,0.611,98.43
"tmp8089",fine,0.577,0.568,98.43
"tmp8090",coarse,-nan,0.000,0.00
"tmp8090",mixed,-nan,0.000,0.00
"tmp8090",fine,-nan,0.000,0.00
"tmp8091",coarse,-nan,0.000,0.00
"tmp8091",mixed,-nan,0.000,0.00
"tmp8091",fine,-nan,0.000,0.00
"tmp8092",coarse,0.582,0.578,99.19
"tmp8092",mixed,0.566,0.561,99.19
"tmp8092",fine,0.517,0.512,99.19
"tmp8093",coarse,0.583,0.578,99.19
"tmp8093",mixed,0.566,0.562,99.19
"tmp8093",fine,0.517,0.513,99.19
"tmp8094",coarse,-nan,0.000,0.00
"tmp8094",mixed,-nan,0.000,0.00
"tmp8094",fine,-nan,0.000,0.00
"tmp8095",coarse,-nan,0.000,0.00
"tmp8095",mixed,-nan,0.000,0.00
"tmp8095",fine,-nan,0.000,0.00
"tmp8096",coarse,-nan,0.000,0.00
"tmp8096",mixed,-nan,0.000,0.00
"tmp8096",fine,-nan,0.000,0.00
"tmp8097",coarse,-nan,0.000,0.00
"tmp8097",mixed,-nan,0.000,0.00
"tmp8097",fine,-nan,0.000,0.00
"tmp8098",coarse,-nan,0.000,0.00
"tmp8098",mixed,-nan,0.000,0.00
"tmp8098",fine,-nan,0.000,0.00
"tmp8099",coarse,-nan,0.000,0.00
"tmp8099",mixed,-nan,0.000,0.00
"tmp8099",fine,-nan,0.000,0.00
