run_id,grain,precision,recall,attempted
"tmp8000",coarse,-nan,0.000,0.00
"tmp8000",mixed,-nan,0.000,0.00
"tmp8000",fine,-nan,0.000,0.00
"tmp8001",coarse,0.740,0.427,57.73
"tmp8001",mixed,0.727,0.420,57.73
"tmp8001",fine,0.695,0.401,57.73
"tmp8002",coarse,0.670,0.195,29.08
"tmp8002",mixed,0.660,0.192,29.08
"tmp8002",fine,0.626,0.182,29.08
"tmp8003",coarse,0.681,0.237,34.86
"tmp8003",mixed,0.665,0.232,34.86
"tmp8003",fine,0.634,0.221,34.86
"tmp8004",coarse,0.733,0.460,62.78
"tmp8004",mixed,0.716,0.449,62.78
"tmp8004",fine,0.685,0.430,62.78
"tmp8005",coarse,0.723,0.475,65.72
"tmp8005",mixed,0.704,0.463,65.72
"tmp8005",fine,0.673,0.442,65.72
"tmp8006",coarse,0.685,0.350,51.09
"tmp8006",mixed,0.671,0.343,51.09
"tmp8006",fine,0.639,0.326,51.09
"tmp8007",coarse,0.679,0.382,56.29
"tmp8007",mixed,0.661,0.372,56.29
"tmp8007",fine,0.629,0.354,56.29
"tmp8008",coarse,0.730,0.554,75.91
"tmp8008",mixed,0.714,0.542,75.91
"tmp8008",fine,0.686,0.521,75.91
"tmp8009",coarse,0.721,0.564,78.25
"tmp8009",mixed,0.705,0.552,78.25
"tmp8009",fine,0.676,0.529,78.25
"tmp8010",coarse,0.702,0.471,67.09
"tmp8010",mixed,0.686,0.460,67.09
"tmp8010",fine,0.659,0.442,67.09
"tmp8011",coarse,0.698,0.489,70.06
"tmp8011",mixed,0.682,0.477,70.06
"tmp8011",fine,0.654,0.458,70.06
"tmp8012",coarse,0.683,0.555,81.31
"tmp8012",mixed,0.665,0.541,81.31
"tmp8012",fine,0.635,0.517,81.31
"tmp8013",coarse,0.689,0.573,83.09
"tmp8013",mixed,0.670,0.557,83.09
"tmp8013",fine,0.640,0.532,83.09
"tmp8014",coarse,0.656,0.494,75.30
"tmp8014",mixed,0.636,0.479,75.30
"tmp8014",fine,0.608,0.458,75.30
"tmp8015",coarse,0.659,0.513,77.84
"tmp8015",mixed,0.637,0.496,77.84
"tmp8015",fine,0.607,0.473,77.84
"tmp8016",coarse,0.623,0.524,84.15
"tmp8016",mixed,0.601,0.505,84.15
"tmp8016",fine,0.563,0.473,84.15
"tmp8017",coarse,0.636,0.543,85.37
"tmp8017",mixed,0.613,0.523,85.37
"tmp8017",fine,0.576,0.492,85.37
"tmp8018",coarse,0.589,0.470,79.87
"tmp8018",mixed,0.562,0.449,79.87
"tmp8018",fine,0.524,0.419,79.87
"tmp8019",coarse,0.595,0.486,81.74
"tmp8019",mixed,0.568,0.464,81.74
"tmp8019",fine,0.529,0.433,81.74
"tmp8020",coarse,0.737,0.379,51.39
"tmp8020",mixed,0.730,0.375,51.39
"tmp8020",fine,0.693,0.356,51.39
"tmp8021",coarse,0.740,0.427,57.73
"tmp8021",mixed,0.727,0.420,57.73
"tmp8021",fine,0.695,0.401,57.73
"tmp8022",coarse,0.668,0.191,28.68
"tmp8022",mixed,0.658,0.189,28.68
"tmp8022",fine,0.624,0.179,28.68
"tmp8023",coarse,0.681,0.235,34.53
"tmp8023",mixed,0.664,0.229,34.53
"tmp8023",fine,0.634,0.219,34.53
"tmp8024",coarse,0.733,0.461,62.85
"tmp8024",mixed,0.716,0.450,62.85
"tmp8024",fine,0.685,0.430,62.85
"tmp8025",coarse,0.723,0.475,65.77
"tmp8025",mixed,0.704,0.463,65.77
"tmp8025",fine,0.673,0.442,65.77
"tmp8026",coarse,0.675,0.348,51.52
"tmp8026",mixed,0.659,0.340,51.52
"tmp8026",fine,0.628,0.324,51.52
"tmp8027",coarse,0.670,0.382,57.00
"tmp8027",mixed,0.651,0.371,57.00
"tmp8027",fine,0.617,0.352,57.00
"tmp8028",coarse,0.726,0.557,76.72
"tmp8028",mixed,0.711,0.545,76.72
"tmp8028",fine,0.683,0.524,76.72
"tmp8029",coarse,0.717,0.570,79.49
"tmp8029",mixed,0.702,0.558,79.49
"tmp8029",fine,0.673,0.535,79.49
"tmp8030",coarse,0.694,0.475,68.51
"tmp8030",mixed,0.675,0.462,68.51
"tmp8030",fine,0.647,0.443,68.51
"tmp8031",coarse,0.689,0.493,71.58
"tmp8031",mixed,0.670,0.480,71.58
"tmp8031",fine,0.641,0.459,71.58
"tmp8032",coarse,0.678,0.565,83.39
"tmp8032",mixed,0.660,0.550,83.39
"tmp8032",fine,0.630,0.526,83.39
"tmp8033",coarse,0.680,0.577,84.84
"tmp8033",mixed,0.662,0.561,84.84
"tmp8033",fine,0.632,0.536,84.84
"tmp8034",coarse,0.649,0.504,77.59
"tmp8034",mixed,0.629,0.488,77.59
"tmp8034",fine,0.599,0.465,77.59
"tmp8035",coarse,0.649,0.521,80.25
"tmp8035",mixed,0.628,0.504,80.25
"tmp8035",fine,0.596,0.478,80.25
"tmp8036",coarse,0.618,0.538,87.04
"tmp8036",mixed,0.596,0.519,87.04
"tmp8036",fine,0.562,0.489,87.04
"tmp8037",coarse,0.626,0.553,88.39
"tmp8037",mixed,0.603,0.533,88.39
"tmp8037",fine,0.566,0.500,88.39
"tmp8038",coarse,0.581,0.487,83.82
"tmp8038",mixed,0.555,0.465,83.82
"tmp8038",fine,0.519,0.435,83.82
"tmp8039",coarse,0.588,0.498,84.63
"tmp8039",mixed,0.563,0.476,84.63
"tmp8039",fine,0.527,0.446,84.63
"tmp8040",coarse,0.737,0.379,51.39
"tmp8040",mixed,0.730,0.375,51.39
"tmp8040",fine,0.693,0.356,51.39
"tmp8041",coarse,0.740,0.427,57.73
"tmp8041",mixed,0.727,0.420,57.73
